exper_data_id,pop_label,env_label,block_id,date_str,time_str,SF,SB,FS,FB,BS,BF,QC_label,temperature,rel_humidity,experiment_ind,logD,line_nb,population,session_id
F040-20230509_131046_proc,CA1100L51,NGM,F040,20230509,131046,-0.356246346446087,-2.65889353769838,-2.91977450090206,-1.29228125112621,-3.91501369471601,-0.799274791484512,ok,23.7,51,2326,5.03240898596589,51,CA1100,E
F040-20230509_133152_proc,A6140L33,NGM,F040,20230509,133152,-0.312437612681721,-1.9894961568484,-2.98542339271102,-1.45549686897673,-3.72052184495106,-0.949020015483895,ok,23.6,52,2327,4.7674019451558,73,CA1100,E
F040-20230509_135328_proc,CA1100L67,NaCl,F040,20230509,135328,-0.102188271779175,-1.45183734953816,-3.36633761613716,-2.15462789550854,-2.95500803981513,-0.473825599896209,ok,23.5,55,2328,2.45421520058257,67,CA1100,E
F040-20230509_143650_proc,CA1100L63,NaCl,F040,20230509,143650,0.398523236132295,-2.02161835593425,-2.78099660547545,-0.946949121173036,-4.06324289378434,-0.0295434080183157,ok,23.9,54,2329,2.6108169566157,63,CA1100,E
F040-20230509_145725_proc,CA1100L72,NGM,F040,20230509,145725,-0.44662385157869,-2.35941987332468,-2.87983292717186,-1.64185463387844,-4.11665370297094,-1.19326224329425,ok,24.1,54,2330,4.65944261139379,72,CA1100,E
F040-20230509_151809_proc,CA1100L63,NGM,F040,20230509,151809,-0.530023508565721,-2.18696776890231,-3.1387333409023,-1.60695691126287,-4.15744794657829,-1.22042093211721,ok,24.3,53,2331,4.81480575492836,63,CA1100,E
F040-20230509_153918_proc,CA1100L71,NaCl,F040,20230509,153918,-0.258580467086827,-2.22853120985872,-2.74901367414388,-1.02053832764822,-4.54419754854803,-0.900511816091737,ok,24.4,53,2332,3.89330617494876,71,CA1100,E
F040-20230509_160153_proc,CA1100L67,NGM,F040,20230509,160153,-0.343721197442416,-1.85495499316083,-3.75454166159281,-2.42955738898157,-3.31442989403625,-0.651850554297064,ok,24.4,54,2333,5.02525372763526,67,CA1100,E
F040-20230509_162326_proc,CA1100L72,NaCl,F040,20230509,162326,0.160105695941259,-2.22304081113055,-3.31589124107092,-1.739557967412,-4.16727323950749,-0.288830698075957,ok,24.6,53,2334,2.98098319800922,72,CA1100,E
F040-20230509_170524_proc,A6140L33,NaCl,F040,20230509,170524,0.0911688259730402,-2.74278803203508,-2.57289038578275,-1.06453378767834,-4.3714238159723,-0.486003686259702,ok,24.9,53,2335,2.52121736474082,73,CA1100,E
F040-20230509_172825_proc,CA1100L77,NaCl,F040,20230509,172825,-0.149610548240411,-1.88686542110998,-3.43635133360278,-1.81991424235284,-3.89770524152122,-0.719103167205105,ok,24.9,52,2336,3.69011128651397,77,CA1100,E
F040-20230509_174917_proc,CA1100L51,NaCl,F040,20230509,174917,0.290879130441316,-2.70258168290582,-2.96857351654137,-1.47946434740206,-3.86411621518328,0.0465980851617545,ok,25,51,2337,2.99045537078891,51,CA1100,E
F040-20230509_180952_proc,CA1100L71,NGM,F040,20230509,180952,-0.626181987703438,-1.68755598663028,-2.62374699109523,-0.983133072881596,-4.07102647058394,-1.59516538838065,ok,25.2,51,2338,4.80543025199043,71,CA1100,E
F040-20230509_183036_proc,CA1100L75,NaCl,F040,20230509,183036,-0.106050118799238,-2.67223560562454,-2.81407018694449,-1.31721788388823,-4.48065773556607,-0.327294727484794,ok,25.3,50,2339,4.06710104811117,75,CA1100,E
F040-20230509_191407_proc,CA1100L74,NaCl,F040,20230509,191407,-0.13457626753578,-2.36154779112085,-2.716214722122,-1.2169905340869,-4.15183634274215,-0.553326621191734,ok,25.3,51,2340,4.47487791432265,74,CA1100,E
F040-20230509_193450_proc,CA1100L74,NGM,F040,20230509,193450,-0.576198368608215,-2.14416453014132,-2.88105573515817,-1.59618620000151,-3.68818474042988,-1.16461782701998,ok,25.2,51,2341,5.02362310777212,74,CA1100,E
F041-20230510_105139_proc,CA3100L75,NGM,F041,20230510,105139,0.00792650676586276,-2.21263365402896,-2.71187571306584,-1.68594328094454,-3.69641541943009,-0.614742286075741,ok,24,47,2342,4.42639954843155,75,CA3100,E
F041-20230510_111321_proc,CA3100L64,NGM,F041,20230510,111321,-0.694027128822128,-2.21265785837006,-2.8984246024194,-1.25091999546772,-4.20503526912735,-1.41474860017977,ok,24,47,2343,4.78644568350172,64,CA3100,E
F041-20230510_113628_proc,CA3100L68,NGM,F041,20230510,113628,-0.521226097435993,-2.98545362824273,-2.36492497383983,-1.16606140231902,-4.39505942766775,-1.3183520609742,ok,24.2,48,2344,4.56039490254373,68,CA3100,E
F041-20230510_115706_proc,CA3100L72,NGM,F041,20230510,115706,-0.0511351770785787,-2.91716938415664,-2.51715323106439,-1.26352371200853,-4.94876013405789,-1.07557659400279,ok,24.2,48,2345,4.64882919071778,72,CA3100,E
F041-20230510_124008_proc,CA3100L65,NGM,F041,20230510,124008,-0.61741146845909,-2.13071282766326,-2.5319383924518,-1.06914686550205,-4.14447151564845,-1.66930423302491,ok,24.5,47,2346,4.95638201030902,65,CA3100,E
F041-20230510_130126_proc,CA3100L88,NaCl,F041,20230510,130126,0.0679791040173502,-2.04482970235519,-3.22302589719223,-1.1945492280521,-3.69530526670054,-0.0993759403573199,ok,24.5,47,2347,2.15267038797649,88,CA3100,E
F041-20230510_132222_proc,CA3100L75,NaCl,F041,20230510,132222,0.000890321563247773,-1.92103963722506,-2.86094360512614,-0.997309527243553,-4.58259049183797,-0.787941522109847,ok,24.6,47,2348,3.12449653567083,75,CA3100,E
F041-20230510_142732_proc,CA3100L64,NaCl,F041,20230510,142732,0.210004679608603,-2.60157976312033,-2.75186997218986,-0.713790536809977,-4.75523424935577,-0.214719051088863,ok,24.8,46,2351,3.21240195745198,64,CA3100,E
F041-20230510_150959_proc,CA3100L90,NGM,F041,20230510,150959,-0.0185244955011374,-3.08000473789996,-2.3185553661125,-1.04792825635197,-4.45455356390032,-0.582271796717845,ok,24.9,45,2352,4.32668631973625,90,CA3100,E
F041-20230510_153145_proc,CA3100L81,NaCl,F041,20230510,153145,0.3612655673785,-1.37245909280886,-2.88753541768059,-1.16256824352756,-3.5889994713438,-0.143511332273414,ok,24.8,44,2353,1.90514345574047,81,CA3100,E
F041-20230510_161354_proc,CA3100L68,NaCl,F041,20230510,161354,-0.22771932034261,-3.03949450326431,-2.74210534473678,-1.48592873636066,-4.82798322242554,-0.763028775714252,ok,24.9,44,2355,4.03216638956513,68,CA3100,E
F041-20230510_163501_proc,CA3100L66,NaCl,F041,20230510,163501,-0.227792082886294,-2.69881907727785,-2.66294551459072,-0.95733449251968,-4.58506753467325,-0.525918591927287,ok,25.2,45,2356,3.66294432046392,66,CA3100,E
F041-20230510_171633_proc,CA3100L66,NGM,F041,20230510,171633,-0.606105765427351,-2.17744326034821,-3.14965481364817,-1.31325659709503,-3.91791709338887,-1.18028121567004,ok,25.1,42,2357,4.95741762142024,66,CA3100,E
F041-20230510_173807_proc,CA3100L72,NaCl,F041,20230510,173807,0.61830890615008,-2.35216900667656,-2.40267853865302,-1.16974070164953,-3.61985713186475,0.288522207936058,ok,25.2,42,2358,2.07075507103167,72,CA3100,E
