Line	Reads	Reads_after_fastp	Reads_final	Coverage
CA3100L29	37498370	37413648	31467798	31.8602
CA3100L2	55887762	55638948	7758926	8.42356
CA3100L30	37006016	36906938	29763908	30.0953
CA3100L31	37037768	36942938	31063602	31.6635
CA3100L32	37040352	36963492	31851895	32.2613
CA3100L33	33537760	33433098	24191333	24.5896
CA3100L36	36965606	36876980	30887109	31.3399
CA3100L37	36234718	36124792	29983229	30.4279
CA3100L39	65816732	65575210	55604861	56.0305
CA3100L3	34060790	33918896	20530031	20.7961
CA3100L40	48023614	47845892	39890297	40.3111
CA3100L44	34393768	34281860	22262464	22.5904
CA3100L45	34335728	34219432	20269510	20.6731
CA3100L48	52670580	52478092	44725799	45.7328
CA3100L4	33952688	33834358	27805490	28.3608
CA3100L54	55318918	55084694	35329811	35.878
CA3100L59	61974946	61762062	54085825	55.2546
CA3100L5	49952948	49768422	36590578	36.8676
CA3100L63	44342434	44176032	6114156	6.40646
CA3100L69	56593880	56402042	48873434	49.3966
CA3100L74	12863876	12830622	11921721	49.15
CA3100L7	33895120	33726378	21513640	21.8914
CA3100L83	30354956	30271014	25471710	25.9122
CA3100L84	53690190	53469004	31980919	32.3876
CA3100L85	59188702	58961078	48029275	48.5462
CA3100L86	52279984	52083026	43542831	44.097
CA3100L92	53097258	52887910	42764460	43.214
CA3100L96	32122964	31993070	14937095	15.215
CA3100L97	53340638	53166036	45314482	46.2977
CA3100L98	32125552	31981016	19856901	20.1512
CA3100L99	32120042	32006640	20762081	21.141
CA350L12	4690898	4501540	4003923	6.27734
CA350L14	4711222	4498164	4017784	6.2739
CA350L15	4703284	4478052	3610385	5.68056
CA350L24	36821224	36698496	29072198	29.7479
CA350L25	36519858	36399200	28249311	28.8389
CA350L26	36833874	36718976	31040366	31.7602
CA350L35	36920802	36795026	28801238	29.4981
CA350L44	36495736	36371220	30508059	31.2682
CA350L48	36468266	36344318	25446571	26.0351
CA350L50	36131814	36007012	24509185	25.1023
CA350L7	26302850	26219424	24012834	29.2108
GA150L56	10922126	10891200	9999511	21.9749
GA250L55	36675812	36562356	26348105	26.9445
GA450L35	36629050	36509112	29669607	30.4477
A6140L213
A6140L330
CA3100L12
CA3100L8
