Line	Reads	Reads_after_fastp	Reads_final	Coverage	percentage_after_fastp	percentage_final
CA1100L119	248447042	246775966	217758957	271.004	99.3273914688024	87.6480376852303
CA1100L14	31703690	31466758	27788935	40.3218	99.2526674339801	87.652052489789
CA1100L17	169242674	167835422	155559888	206.788	99.1685004929667	91.9152860938607
CA1100L19	122917158	118368858	108435270	145.25	96.2997029267468	88.21817211231
CA1100L1	38120072	37855844	34144646	48.1864	99.3068533553662	89.5713051119106
CA1100L20	137595700	136268264	121699182	165.214	99.0352634566342	88.4469369318954
CA1100L26	36539512	36262758	32650864	46.1347	99.2425897751453	89.3576903818529
CA1100L2	166030200	164215444	146985893	211.295	98.9069723459949	88.5296126849212
CA1100L34	35662534	35387666	31450675	44.9366	99.2292527502392	88.189681080991
CA1100L37	22834228	22503348	19134628	27.3727	98.5509472884303	83.798007097065
CA1100L39	102230294	101095898	91151342	133.116	98.8903524037601	89.1627505248102
CA1100L40	59163406	58421668	49715488	74.1167	98.7462892180345	84.0308078273925
CA1100L48	21206902	20950058	18496771	27.3982	98.78886600221	87.2205237709874
CA1100L51	26961018	26772182	22735053	32.3499	99.2995961799365	84.3256474959514
CA1100L55	34726482	34427786	31047944	44.5211	99.1398610432234	89.40711011268
CA1100L58	97859094	96942650	81945522	120.041	99.0635065556605	83.7382798577718
CA1100L59	171836934	170724632	150904680	210.915	99.3526991118219	87.8185361477644
CA1100L60	102220032	101357030	90656792	130.891	99.155740823873	88.6878924084078
CA1100L63	44235474	43916108	39813743	54.9606	99.2780319252372	90.0041062067064
CA1100L67	162772424	161261530	148627095	213.64	99.0717752043798	91.3097509686284
CA1100L68	112780578	111489290	96301785	143.671	98.8550439952524	85.3886251584914
CA1100L72	31177596	30868246	27415796	39.3968	99.007781100249	87.934284606164
CA1100L73	32211396	31873490	20350076	30.3636	98.9509737485454	63.1766347537375
CA1100L75	27320200	27062792	24028355	35.4289	99.0578107041676	87.9508751766092
CA1100L78	110030902	108613844	96976156	142.569	98.7121272531239	88.1353821856336
CA1100L79	93315160	92089464	76179914	112.618	98.6864985282134	81.6372323639589
CA1100L7	158162212	157077242	145928668	211.299	99.3140143993434	92.2651916375575
CA1100L83	102479614	101739324	90965630	127.943	99.2776221815199	88.7646102960536
CA1100L88	91431592	90083034	80095511	119.194	98.5250634157174	87.6015710193474
CA1100L89	39793298	39329362	34712065	49.5495	98.8341353360558	87.2309327063065
CA1100L91	35604572	35268140	28626348	40.4719	99.0550876443621	80.4007642613988
CA1100L92	152624192	151270488	134635346	183.257	99.1130475567071	88.2136339172233
CA1100L94	33230562	32965172	29388307	42.5652	99.2013677048255	88.4375864603193
CA1100L99	127516706	126054400	109728955	162.982	98.8532435899026	86.0506504928068
CA2100L73	136504360	135178620	117331231	169.352	99.0287929264677	85.9542002907453
CA2100L101	24289350	24065560	20952878	30.9008	99.078649696266	86.2636422959034
CA2100L112	70099918	69368520	60495776	88.9601	98.9566350134675	86.2993534457487
CA2100L23	143853112	142731142	127398901	180.56	99.2200585830913	88.561796980798
CA2100L25	175795030	173924622	154044625	221.417	98.9360290788653	87.6274061900385
CA2100L41	149884730	148572900	131784445	189.87	99.124774084725	87.9238632247595
CA2100L43	24109316	23923752	21473153	30.2495	99.230322419765	89.0657909996285
CA2100L45_1_G7	151507428	150289296	134275932	185.867	99.1959918955261	88.6266328803364
CA2100L45_2_H7	212493376	210940254	185537998	249.091	99.2690962752646	87.3147208127561
CA2100L51	102420422	101186954	89861481	132.299	98.795681587799	87.7378546633991
CA2100L58	97875256	96642300	84153166	124.804	98.7402781352623	85.9800213447207
CA2100L59	23932634	23669648	20908360	31.2346	98.9011405932168	87.3633884176727
CA2100L5	49780968	49246898	44031260	63.3647	98.9271602753888	88.4499875534763
CA2100L65	127738656	126665270	114354076	161.032	99.1597015080541	89.5219032209013
CA2100L68	109792328	108691358	93074052	136.978	98.9972250155767	84.7728194633053
CA2100L6	64444344	63702798	56479966	83.1386	98.8493233789454	87.6414631515219
CA2100L70	94202418	93481112	79562250	106.575	99.2343020324595	84.4588193054662
CA2100L77	24516282	24201562	21820240	31.956	98.7162816939371	89.0030551940951
CA2100L79	28264592	28011764	24168621	35.7323	99.1054956675122	85.5084729332021
CA2100L81	192349856	190794904	170128150	225.216	99.1916022021872	88.4472458352139
CA2100L85	102446210	101213568	73800414	105.071	98.7967910184281	72.0382081484518
CA2100L89	114818770	113558444	98811264	142.581	98.9023345224827	86.0584589087655
CA2100L96	222572554	220190588	197084665	289.533	98.9298024589321	88.5485031546163
CA2100L29	83890316	82896386	73507590	108.491	98.8152029371304	87.623451078668
CA2100L55	36015630	35751000	31864579	44.8391	99.2652356768436	88.4743068495539
CA2100L67	94536456	93367128	81670112	121.749	98.7630930442326	86.3900715719658
CA2100L111	30038184	29617692	25329068	37.3447	98.6001417395939	84.3229004789371
CA2100L20	33984228	33573370	29535608	44.0516	98.7910332993293	86.909751193995
CA2100L32	101744070	100729464	89042813	129.511	99.0027861083206	87.5164645959219
CA2100L108	163708630	162737498	144601369	189.095	99.4067924213891	88.3284949608338
CA2100L115	34983304	34670138	28661340	43.2098	99.10481297021	81.9286251521583
CA2100L102	32411950	32026738	28404483	42.1499	98.8115124205733	87.6358349312522
CA2100L17	112530206	111482722	98495204	130.431	99.0691530414509	87.5277914269525
CA2100L16	87337750	86666196	74374509	105.424	99.2310839241909	85.1573449052672
CA2100L18	35542638	35285126	32060318	45.8474	99.2754842789103	90.2024154763076
CA2100L106	21137460	20935052	18270346	26.7024	99.0424204232675	86.4358631547972
A6140L51	26207444	25918912	23011698	33.2561	98.8990456299363	87.805960779693
A6140L95	37676650	37346726	32960154	47.0367	99.124327667136	87.4816471209622
A6140L103	34935610	34507822	31302890	45.3115	98.7754958336208	89.6016700438321
A6140L224	27181570	26650330	23615442	35.0575	98.0455875065348	86.8803457636921
A6140L96	212353256	211023930	190402030	219.981	99.3740025347198	89.6628728876189
A6140L33	115219396	114337338	101917199	148.923	99.2344535463456	88.4548978194609
A6140L43	127197788	126122846	113098418	156.085	99.1549051151739	88.9153968620901
A6140L6	28774158	28477262	24733924	36.4549	98.9681852723544	85.9588106800554
A6140L61	187778974	186363008	166712392	220.489	99.2459400699463	88.7811816460346
A6140L91	117873642	116950254	104620255	147.157	99.2166289389786	88.7562759789843
A6140L97	83171818	82242722	72850343	107.542	98.8829196928219	87.59017748055
A6140L65	28023446	27757966	25012711	36.7312	99.0526504128008	89.2563712542704
A6140L47	40461638	40078608	35787093	52.0161	99.0533502375757	88.4469704365404
A6140L83	172511210	171094632	154297013	210.762	99.178848725251	89.441731351835
A6140L146	98954294	97934658	88021840	123.204	98.9695889296123	88.9520165744399
A6140L79	104677124	103335244	91989110	136.581	98.7180771225621	87.8789046592453
A6140L73	77559380	74958932	68011313	93.7005	96.6471521561931	87.689345892141
A6140L89	185970684	184442156	164739459	217.166	99.1780812076811	88.5835635255286
A6140L32	78480360	77422552	69122728	101.459	98.6521366619623	88.0764665197764
A6140L355	103077578	102031260	90900128	133.811	98.9849218226684	88.1861310322988
CA1100L101	149086984	146500784	120343504	174.418	98.2653079895962	80.7203290127594
CA1100L15	219983892	216529744	160842411	231.343	98.4298177613841	73.1155402050983
CA1100L23	80436554	78506050	59202321	86.7842	97.5999668011636	73.6012646687972
CA1100L25	167498010	165103070	121859175	181.483	98.5701680873701	72.7526106131052
CA1100L31	222926168	217119982	162666605	237.798	97.3954668255904	72.9688248173718
CA1100L3	32444644	31333684	22152549	33.1649	96.5758292801733	68.2779844956844
CA1100L52	58555126	56261498	39508137	59.0364	96.0829595004202	67.4716966709285
CA1100L53	4002318	3847378	2805597	4.43351	96.1287433932036	70.0993024542278
CA1100L56	48686278	47823182	41060829	60.9459	98.2272294464572	84.3375807039511
CA1100L66	53214626	52370494	42247567	61.9931	98.4137218215158	79.3908933983676
CA1100L6	39161372	38213600	30510143	45.6384	97.579829429878	77.9087693863228
CA1100L81	142416288	139732570	128661762	177.762	98.1155821165624	90.3420274512421
CA1100L95	118792156	116263778	97218709	142.469	97.8715951581854	81.8393337351332
CA1100L97	116639164	114554620	73550194	108.682	98.2128266968717	63.0578885150446
CA1100L9	59237002	58622304	47108255	64.84	98.9623073767305	79.5250492251448
CA2100L10	84440672	83861390	72305236	104.631	99.3139775107427	85.6284469171444
CA2100L14	141357324	138026346	120719437	175.747	97.643575935266	85.4001997094965
CA2100L26	55659286	54713418	45717257	67.3402	98.300610611498	82.1376993589174
CA2100L27	137503976	133073746	117420388	167.646	96.7781077108636	85.3941765291209
CA2100L28	192451792	188993710	149996211	219.136	98.2031437774297	77.9396281225586
CA2100L2	56235490	55302740	48327759	71.0669	98.3413499197749	85.938184232057
CA2100L33	86620894	85761914	69304220	101.152	99.008345492255	80.0086639604528
CA2100L39	49185420	48615410	43048126	61.62	98.841099659208	87.5221274922528
CA2100L40	61803438	61249314	49930616	72.693	99.1034091016102	80.7893826230185
CA2100L44	75653506	74486486	65558248	96.3193	98.4574145182379	86.6559284113019
CA2100L4	61346128	60381202	53557216	78.2238	98.4270792119105	87.3033355911232
CA2100L80	59040322	57399674	37979562	56.2082	97.2211398169542	64.3281755814272
CA2100L82	56301538	55214246	44064848	65.2982	98.0688058645929	78.2657979964952
CA2100L88	150170154	147558360	131590306	188.567	98.2607769051099	87.6274695702849
CA2100L8	33920726	33006424	23502431	35.4505	97.3045918887467	69.2863442840227
CA2100L9	79909250	78829654	66245025	97.2277	98.6489724280981	82.9003213019769
CA2100L119	150809820	147547570	132162877	190.591	97.8368451073014	87.6354583541045
A6140L15	235452900	232612840	205076640	299.236	98.7937884816878	87.0987955552894
A6140L41	98523578	96254336	64584674	94.5471	97.6967523449057	65.5525056144429
A6140L109	57467904	56799678	50823654	72.7914	98.8372187717165	88.438328984471
A6140L309	144872952	138847350	123714939	179.947	95.8407681235073	85.3954705085322
A6140L102	5936196	5592384	4999274	7.6234	94.2082101062701	84.216794728476
A6140L25	69790554	68844702	60493747	87.6149	98.6447277664539	86.6789895377532
A6140L177	47349416	46581768	41834664	62.2881	98.3787593071898	88.3530728235381
A6140L22	38324172	37283364	33477173	49.6701	97.2841996429825	87.3526321716748
A6140L4	119748648	118027282	106347954	156.644	98.5625173822422	88.8093149911805
A6140L100CeMee	5249450	4857334	4171255	6.50259	92.5303412738477	79.4608006553067
A6140L101CeMee	2166446	1901708	1446632	2.16226	87.7800785249205	66.7744314882531
A6140L102CeMee	5104096	4734350	3937154	6.2229	92.7558964408193	77.1371463232666
A6140L104CeMee	2838142	2585180	2131437	2.6793	91.0870562501806	75.0997307393358
A6140L105CeMee	3339550	3062792	2621211	3.14418	91.7127157850609	78.4899462502433
A6140L106CeMee	24798284	24400332	20042469	10.5457	98.3952437999339	80.8219996190059
A6140L107CeMee	3821814	3528428	2411436	2.87565	92.3233836078888	63.0966342161079
A6140L108CeMee	3243532	2970144	2633578	3.13657	91.5712871030716	81.1947592932643
A6140L109CeMee	4004512	3594992	2273688	2.89084	89.7735354520101	56.778154242015
A6140L10CeMee	13321382	12449034	10115359	11.1353	93.4515202701942	75.9332552733643
A6140L110CeMee	28580134	27053860	15663499	8.27785	94.6596681457127	54.8055477976415
A6140L112CeMee	42664496	41464846	35123412	18.5149	97.1881772610182	82.3246851433567
A6140L113CeMee	27080796	26634872	21693102	11.4146	98.3533571169769	80.1051121244737
A6140L115CeMee	433986	384352	200170	1.76295	88.5632255418378	46.1236076739803
A6140L116CeMee	2016080	2002506	1692770	2.4229	99.3267132256656	83.9634339907146
A6140L11CeMee	32496804	30364004	25109761	24.712	93.4368930556986	77.2684015326553
A6140L120CeMee	3566962	3185810	2247977	2.72582	89.3143801363738	63.0221740517561
A6140L122CeMee	33480004	32338586	27748244	14.6107	96.5907471217745	82.8800498351195
A6140L123CeMee	43201146	41926798	35144920	18.4783	97.0501986220458	81.3518233983885
A6140L124CeMee	34335390	33347758	16674729	8.79987	97.123574248028	48.5642627038749
A6140L125CeMee	6481678	6438142	5570066	5.64466	99.3283220795603	85.935555576812
A6140L126CeMee	24626862	23290308	20471498	21.1987	94.5727799181236	83.1267012419203
A6140L12CeMee	31701836	28819144	22285452	22.188	90.9068610411082	70.2970389475234
A6140L133CeMee	2165468	2150548	1849295	2.65996	99.3110034412884	85.399322455931
A6140L134CeMee	29402238	28656340	13459503	7.10787	97.4631250859203	45.7771377811444
A6140L135CeMee	26069814	25271070	11445569	6.11285	96.9361346421574	43.9035314943175
A6140L137CeMee	3643890	3616954	3073105	3.66029	99.260789979939	84.3358334088021
A6140L13CeMee	31122094	30121838	25011098	13.1223	96.7860260302536	80.3644446289507
A6140L142CeMee	25377792	24333782	21519166	22.1826	95.8861275244119	84.7952650884679
A6140L153CeMee	24946514	23780866	20821830	21.4461	95.327411276782	83.465890264267
A6140L155CeMee	29972958	28689948	23966122	12.5936	95.7194415045722	79.9591485098001
A6140L156CeMee	21780550	20807760	18507395	19.2102	95.5336756877122	84.9721196204871
A6140L157CeMee	28319696	27613938	15972232	8.45103	97.5078899152025	56.3997297146128
A6140L158CeMee	28510962	27627740	22717405	11.9471	96.9021669630088	79.6795457129788
A6140L168CeMee	2775620	2539006	2147872	2.67166	91.4752739928376	77.3835035055231
A6140L169CeMee	32318054	30923028	27322313	28.2278	95.6834467817895	84.5419498339844
A6140L16CeMee	1762656	1746200	1444913	2.24525	99.0664088738812	81.9736238948496
A6140L175CeMee	4919478	4846284	1179210	2.45587	98.5121592168925	23.9702261093555
A6140L176CeMee	8015556	7959200	6792279	6.94258	99.2969171446123	84.7387130724307
A6140L179CeMee	5888152	5471388	4516910	7.05917	92.9219897855898	76.7118443953213
A6140L17CeMee	21040534	19145012	15006792	15.6586	90.9910936671094	71.3232468339444
A6140L181CeMee	36289150	33518684	13345339	7.06819	92.3655803456405	36.7750112636973
A6140L182CeMee	208802	206760	162625	1.40547	99.0220400187738	77.8847903755711
A6140L183CeMee	23511710	21885408	10649034	5.82373	93.0830126775126	45.2924691568584
A6140L184CeMee	26403096	25451562	9605499	5.13408	96.3961271814487	36.3801995038764
A6140L185CeMee	22588448	21946296	12067092	6.44967	97.1571663533502	53.4215188223644
A6140L188CeMee	63508	62594	52845	1.37507	98.5608112363797	83.2099892926875
A6140L18CeMee	21918670	21492954	17054830	8.97865	98.0577471169555	77.8096024986918
A6140L190CeMee	3805208	3510452	2876725	3.27507	92.2538794199949	75.5996781253482
A6140L192CeMee	1910208	1888684	1232261	2.12166	98.87321171307	64.5092576305826
A6140L19CeMee	40367128	38972522	22834268	12.043	96.5451939013348	56.5664914283721
A6140L200CeMee	2616072	2595812	2237469	2.93712	99.2255564831549	85.527806574131
A6140L201CeMee	22391314	21946962	17687542	9.31205	98.0155161952532	78.9928719681212
A6140L203CeMee	22699650	22248622	18085366	9.51132	98.0130618754034	79.6724442887886
A6140L205CeMee	26908788	26322954	21332302	11.1717	97.8228896819879	79.2763390160865
A6140L20CeMee	23987150	21803572	17671398	18.0233	90.8968843735083	73.6702692900157
A6140L211CeMee	30030144	28728126	25026909	25.9016	95.6642965148619	83.339290680724
A6140L214CeMee	20476200	19606834	17487291	18.0682	95.7542610445297	85.4030093474375
A6140L217CeMee	3314788	3102804	2360046	2.77094	93.60490022288	71.1974943797311
A6140L218CeMee	24086030	22984598	20723894	21.3706	95.4270919699095	86.0411367087062
A6140L21CeMee	18300014	16959524	13352064	13.3142	92.6749236366704	72.9620425426997
A6140L225CeMee	19890340	19083982	17128929	17.6651	95.9459818183098	86.116823543489
A6140L226CeMee	29505156	28099260	25022884	25.8044	95.2350836579207	84.8085127901035
A6140L227CeMee	1449708	1406342	1132388	2.68164	97.0086389810914	78.1114541687016
A6140L228CeMee	25682034	24430000	21653633	22.3515	95.1248643312286	84.3143226116748
A6140L231CeMee	22295522	20541594	8419516	4.69557	92.1332723225767	37.7632602636529
A6140L233CeMee	22763590	21855628	19643411	20.23	96.0113409176672	86.2931154532304
A6140L234CeMee	31683190	29345582	14101776	14.738	92.6219297993668	44.5087000393584
A6140L236CeMee	3898248	3483758	2422972	2.85968	89.3672747347013	62.1554093018197
A6140L239CeMee	1218712	1209516	1041687	1.95844	99.2454328832407	85.4744188947019
A6140L23CeMee	1262082	1251172	955554	1.90431	99.1355553759581	75.7125131330611
A6140L244CeMee	3810568	3378426	2189878	2.65491	88.6593809636779	57.4685453717136
A6140L246CeMee	2866496	2648818	1928153	2.59504	92.4061292951394	67.2651557860189
A6140L247CeMee	5214808	4689618	1982419	2.48877	89.9288717820483	38.0151867528009
A6140L248CeMee	3977466	3566196	2276633	2.78026	89.6599996077905	57.2382768325361
A6140L24CeMee	25177092	24212322	21558721	22.2858	96.1680642069386	85.6283203794942
A6140L250CeMee	3290406	3028036	2682585	3.14003	92.0262119629006	81.5274771563144
