Line	Reads	Reads_after_fastp	Reads_final	Coverage
CA250L11	4516330	4269572	357780	2.31664
CA250L12	4494912	4343256	2864036	5.00794
CA250L13	4497236	4293112	2585093	4.52273
CA250L14	4645648	4474634	2601925	4.59248
CA250L16	4452798	4271348	2327432	4.0697
CA250L17	4725094	4470922	3313106	5.30323
CA250L19	4466476	4205464	2069555	3.77273
CA250L20	4626126	4372402	2851188	4.78282
CA250L21	4606418	4431258	1925344	3.66523
CA250L22	4507284	4235490	389894	2.43706
CA250L23	4534980	4341462	2088248	3.9608
CA250L24	4614478	4451328	2595615	4.73595
CA250L27	4663078	4487434	3217797	5.3275
CA250L28	3410616	3345552	931740	2.19784
CA250L29	4602994	4405452	1526213	3.14782
CA250L30	3387884	3315968	2149246	3.72177
CA250L31	4448338	4248658	2381882	4.01659
CA250L32	3402270	3348286	1676069	3.24563
CA250L34	4647766	4483326	3279292	5.34905
CA250L35	4505844	4328312	2130122	3.75674
CA250L37	4486878	4271848	1919037	3.56417
CA250L39	4474562	4284486	2777491	4.63973
CA250L3	4726710	4559118	3903332	6.23885
CA250L40	4687682	4520014	2640548	4.3879
CA250L41	3102258	3089056	0	0
CA250L42	4675152	4486956	3501990	5.6152
CA250L43	4579920	4405020	2509238	4.11483
CA250L44	4517152	4333716	2508850	4.72198
CA250L45	4686754	4525190	3100681	5.33405
CA250L46	4387952	4185954	2168910	4.03064
CA250L47	4739828	4578928	3813746	6.12843
CA250L48	4298438	4150516	2593394	4.58586
CA250L50	4479084	4300974	2556409	4.44879
CA250L52	4697588	4536180	2898568	5.18016
CA250L5	4465968	4274142	2376674	4.40084
CA250L6	4541984	4360638	2479931	4.44303
CA250L8	4456182	4276200	1825856	3.73209
CA250L9	4743728	4570832	3587697	5.84771
CA350L10	4454606	4278568	2538282	4.62491
CA350L11	4655636	4487356	3487981	5.67399
CA350L13	4634074	4431902	3216106	5.2688
CA350L16	4442862	4256380	2646030	4.56506
CA350L17	4754620	4586366	3639925	5.90095
CA350L18	4773904	4584246	1876738	3.62358
CA350L19	4372112	4208172	3154224	5.28463
CA350L1	4383296	4181440	2340475	4.22858
CA350L20	3173884	3159536	0	0
CA350L21	4548942	4393634	2657464	4.47233
CA350L22	4535042	4346096	2056943	3.61531
CA350L23	4564116	4386906	2288921	3.82847
CA350L27	4388002	4207682	2497304	4.08221
CA350L28	4466336	4293050	2570118	4.33067
CA350L29	4404666	4227168	2799860	4.75453
CA350L2	4349306	4166820	2351935	4.31247
CA350L30	4724932	4575128	3943872	6.19253
CA350L31	4654916	4454202	3371084	5.38025
CA350L32	4463378	4295858	2421872	4.01339
CA350L33	4660772	4463604	3367421	5.3826
CA350L34	4471698	4264598	2206628	3.91124
CA350L36	4647928	4629712	0	0
CA350L37	4570210	4388568	3002513	4.80763
CA350L38	4446734	4234798	2030408	3.68063
CA350L39	4507924	4333718	2539743	4.45851
CA350L3	4726024	4552636	3988095	6.31368
CA350L40	4538424	4373916	1554905	3.29
CA350L41	3396646	3334654	1674176	3.28515
CA350L42	4724430	4564302	2792665	4.86989
CA350L43	4516050	4337186	2189642	3.91262
CA350L45	4552804	4367288	2106215	4.42961
CA350L46	4523030	4336146	1724612	3.86725
CA350L47	4680644	4526082	3149980	5.28989
CA350L4	4726326	4550262	3218680	5.36271
CA350L51	4729790	4543564	3004608	5.17328
CA350L52	3401422	3344390	1921122	3.63881
CA350L5	4524586	4353732	2684484	4.77876
CA350L6	4579454	4409712	2977126	5.00449
CA350L8	4621138	4405580	1227843	2.91749
CA350L9	4526702	4333932	2421339	4.36097
GA150L10	2977144	2650826	2068439	2.62353
GA150L11	2628748	2349518	1956736	2.48167
GA150L12	3843090	3384350	2309204	2.75604
GA150L13	2065690	1861022	1377159	2.12438
GA150L14	5350572	5038238	3938543	4.19769
GA150L15	3388418	3092660	2658681	3.11082
GA150L16	3904254	3556396	3016163	3.42283
GA150L17	4363728	4171062	3559706	3.79207
GA150L18	5181756	4679298	3083118	3.4801
GA150L19	3640208	3314296	2689220	3.13841
GA150L1	4026414	3511764	2270560	2.72865
GA150L20	4442518	4002538	2537011	2.99515
GA150L21	6123122	5834406	5019409	5.24455
GA150L22	6943814	6365308	5059849	5.38837
GA150L23	3189968	2953792	2603633	3.04111
GA150L24	12810714	11929742	9386603	9.63937
GA150L25	3308238	3002634	2478632	2.9387
GA150L26	4112700	3836446	3209377	3.61506
GA150L27	3041990	2728792	1692872	2.25262
GA150L28	3393732	3182032	2723504	3.10082
GA150L29	2491112	2321902	1884364	2.46341
GA150L2	4121170	3680528	2446028	2.8634
GA150L30	3629006	3403702	2877459	3.27323
GA150L31	4742392	4394264	3599185	3.97472
GA150L32	3180820	2889238	1578144	2.17141
GA150L33	2611682	2375408	1928323	2.48132
GA150L34	8374926	8300078	5916721	6.01782
GA150L35	4430036	4120728	3326707	3.7119
GA150L36	3571522	3317394	2729025	3.1413
GA150L37	2927828	2678042	1911304	2.47903
GA150L38	2999306	2727428	1948523	2.49576
GA150L39	4311832	3944078	2354784	2.84981
GA150L3	3280656	2931714	1994437	2.51576
GA150L40	3363510	3020860	1837045	2.36329
GA150L41	2743738	2576456	2289638	2.86251
GA150L42	4486630	4249586	3608676	4.00528
GA150L43	4188266	3864762	2699227	3.18177
GA150L44	3280166	3069808	1938743	2.54929
GA150L45	3305080	3016452	2083877	2.64569
GA150L46	3813590	3540718	2465728	3.00465
GA150L47	4295718	4025040	2553086	3.07853
GA150L48	3054700	2783858	1933018	2.53721
GA150L49	3134900	2834164	1939423	2.50507
GA150L4	3424538	3128692	2724801	3.14663
GA150L50	2912996	2687736	2020536	2.68941
GA150L51	5276040	5018210	3796601	6.1385
GA150L52	6307288	5998196	4223131	6.71553
GA150L53	4875422	4674350	358917	1.54889
GA150L54	6622130	6303162	4488868	7.08195
GA150L55	7179464	6780412	4016019	6.34156
GA150L57	6534616	6236386	5012182	7.99209
GA150L58	5171298	4930198	3688821	6.18606
GA150L59	5177748	4913484	4181312	6.6581
GA150L5	2699080	2485786	2159445	2.61613
GA150L60	6384912	6079026	4404182	7.00042
GA150L61	6455272	6092484	3763306	6.00898
GA150L6	3564696	3301734	2835667	3.32909
GA150L7	3699328	3373772	2769459	3.19649
GA150L8	7010226	6873394	6099486	5.84073
GA150L9	1967398	1771502	1410601	2.16019
GA250L10	2593756	2392138	2101016	2.59171
GA250L11	3508064	3236088	2611173	3.13273
GA250L12	4616318	4351512	3674772	4.1154
GA250L13	2321102	2009844	935143	1.68025
GA250L14	3715768	3418484	2630184	3.20256
GA250L15	2404382	2234132	1781338	2.90061
GA250L16	14790344	13827256	10262420	10.3262
GA250L17	13637902	12124576	9321888	9.83218
GA250L18	4629030	4211440	3264577	3.67539
GA250L19	2231176	1937752	1012115	1.73358
GA250L1	2989894	2737594	2150537	2.63644
GA250L20	2502396	2254212	1753263	2.32478
GA250L21	16645536	15191204	12343308	12.5988
GA250L22	365268	302774	123511	1.15707
GA250L23	3267966	2990300	2612792	3.10569
GA250L24	4673934	4285446	3623723	4.01017
GA250L25	3571670	3216420	2601946	3.0863
GA250L26	3032978	2667212	2103096	2.61858
GA250L27	3447582	3151832	2469284	2.99737
GA250L28	5051016	4524436	3312923	3.75358
GA250L29	5167320	4767300	4164140	4.43326
GA250L2	3074420	2812772	2298041	2.77129
GA250L30	9370464	9020502	7759541	7.43581
GA250L31	6599382	6547642	5365147	5.54941
GA250L32	5628558	5280566	3197598	3.61253
GA250L33	5142924	4509008	2802933	3.23656
GA250L34	2889838	2743422	2374706	2.93864
GA250L35	3287274	3009512	2567092	3.09329
GA250L36	5837140	5475084	4512009	4.82303
GA250L37	3800144	3402262	2593357	3.02218
